Year,Pink,Chum,Sockeye,Continent
1952,1.55,3.60,2.90,Asia
1953,1.56,3.58,2.90,Asia
1954,1.52,3.55,2.87,Asia
1955,1.52,3.58,2.83,Asia
1956,1.51,3.61,2.82,Asia
1957,1.52,3.47,2.84,Asia
1958,1.45,3.42,2.80,Asia
1959,1.44,3.53,2.79,Asia
1960,1.45,3.56,2.78,Asia
1961,1.45,3.49,2.86,Asia
1962,1.53,3.46,3.37,Asia
1963,1.46,3.33,2.73,Asia
1964,1.35,3.50,2.70,Asia
1965,1.37,3.35,2.75,Asia
1966,1.45,3.22,3.10,Asia
1967,1.51,3.46,2.99,Asia
1968,1.58,2.86,2.54,Asia
1969,1.47,3.23,2.62,Asia
1970,1.42,3.37,2.68,Asia
1971,1.46,3.05,2.61,Asia
1972,1.48,3.05,2.76,Asia
1973,1.28,3.12,2.64,Asia
1974,1.33,3.10,2.90,Asia
1975,1.28,3.01,2.67,Asia
1976,1.22,3.03,2.66,Asia
1977,1.18,3.28,2.60,Asia
1978,1.20,3.40,2.64,Asia
1979,1.20,3.34,2.45,Asia
1980,1.21,3.35,2.65,Asia
1981,1.27,3.30,2.73,Asia
1982,1.28,3.33,2.53,Asia
1983,1.19,3.38,2.58,Asia
1984,1.18,3.33,2.73,Asia
1985,1.14,3.28,2.99,Asia
1986,1.42,3.31,2.92,Asia
1987,1.24,3.33,2.83,Asia
1988,1.35,3.34,3.71,Asia
1989,1.26,3.32,2.76,Asia
1990,1.34,3.33,3.13,Asia
1991,1.26,3.26,2.62,Asia
1992,1.40,3.33,2.60,Asia
1993,1.29,3.22,2.67,Asia
1994,1.28,3.21,2.78,Asia
1995,1.38,3.22,2.74,Asia
1996,1.42,3.29,2.74,Asia
1997,1.36,3.25,2.79,Asia
1998,1.28,3.22,2.27,Asia
1999,1.20,3.21,2.26,Asia
2000,1.40,3.21,2.51,Asia
2001,1.33,3.29,2.95,Asia
2002,1.54,3.63,2.83,Asia
2003,1.36,3.73,2.68,Asia
2004,1.64,3.45,3.00,Asia
2005,1.26,3.49,2.79,Asia
2006,1.42,3.39,2.95,Asia
2007,1.40,3.24,2.79,Asia
2008,1.55,3.26,2.74,Asia
2009,1.34,3.30,2.62,Asia
2010,1.49,3.43,2.57,Asia
2011,1.19,3.23,2.38,Asia
2012,1.33,2.97,2.46,Asia
2013,1.42,3.16,2.58,Asia
2014,1.41,3.32,2.55,Asia
2015,1.36,3.24,2.57,Asia
2016,1.25,3.15,2.36,Asia
2017,1.33,3.23,2.47,Asia
2018,1.22,2.84,2.25,Asia
2019,1.20,3.14,2.37,Asia
2020,1.28,3.06,2.28,Asia
2021,1.17,3.17,2.32,Asia
2022,1.34,2.76,2.33,Asia
1952,1.78,4.27,2.55,North America
1953,2.06,4.21,2.56,North America
1954,1.75,4.32,2.89,North America
1955,1.96,3.97,2.57,North America
1956,1.71,3.93,2.59,North America
1957,1.93,4.03,2.45,North America
1958,1.78,4.19,2.70,North America
1959,1.88,4.05,2.50,North America
1960,1.62,3.62,2.27,North America
1961,2.47,4.00,2.68,North America
1962,1.65,3.94,2.61,North America
1963,1.82,3.85,2.50,North America
1964,1.65,4.12,2.57,North America
1965,1.92,3.85,2.14,North America
1966,1.89,4.07,2.83,North America
1967,2.25,4.05,2.72,North America
1968,1.47,4.42,2.77,North America
1969,2.12,3.80,2.51,North America
1970,1.77,3.76,2.51,North America
1971,1.85,3.47,2.80,North America
1972,1.48,4.18,2.72,North America
1973,1.89,4.41,2.99,North America
1974,1.79,4.11,2.88,North America
1975,2.06,3.58,2.51,North America
1976,1.87,4.33,2.80,North America
1977,2.18,4.15,3.01,North America
1978,1.54,4.17,2.94,North America
1979,1.81,3.84,2.67,North America
1980,1.61,3.80,2.55,North America
1981,1.96,3.94,2.74,North America
1982,1.53,4.11,2.98,North America
1983,1.56,3.81,2.62,North America
1984,1.65,3.79,2.61,North America
1985,1.61,3.83,2.51,North America
1986,1.54,3.93,2.82,North America
1987,1.81,3.86,2.91,North America
1988,1.54,4.09,2.76,North America
1989,1.61,4.01,2.64,North America
1990,1.45,4.27,2.61,North America
1991,1.28,3.65,2.52,North America
1992,1.53,3.80,2.62,North America
1993,1.39,3.46,2.49,North America
1994,1.41,3.84,2.54,North America
1995,1.56,3.78,2.48,North America
1996,1.44,4.06,2.79,North America
1997,1.73,3.98,2.55,North America
1998,1.61,3.99,2.60,North America
1999,1.35,4.13,2.53,North America
2000,1.55,4.14,2.78,North America
2001,1.54,4.02,2.84,North America
2002,1.54,4.16,2.81,North America
2003,1.59,3.46,2.67,North America
2004,1.66,3.78,2.57,North America
2005,1.61,3.92,2.72,North America
2006,1.70,4.10,2.56,North America
2007,1.61,3.70,2.64,North America
2008,1.59,3.82,2.58,North America
2009,1.42,3.56,2.70,North America
2010,1.72,3.60,2.62,North America
2011,1.59,3.62,2.75,North America
2012,1.67,3.90,2.69,North America
2013,1.39,3.58,2.73,North America
2014,1.56,3.90,2.56,North America
2015,1.54,3.57,2.43,North America
2016,1.81,3.64,2.48,North America
2017,1.68,3.64,2.48,North America
2018,1.72,3.70,2.37,North America
2019,1.49,3.27,2.38,North America
2020,1.60,3.36,2.31,North America
2021,1.37,2.90,2.17,North America
2022,1.59,3.20,2.30,North America
