priceetal_stock_names,prop_age1,prop_age2,hh_stock_names,source
Alastair,0.75,0.25,Alastair,"Price et al., 2021"
Babine,0.97,0.03,Babine-Early-Wild,"Price et al., 2021"
Babine,0.97,0.03,Babine-Mid-Wild,"Price et al., 2021"
Babine,0.97,0.03,Babine-Late-Wild,"Price et al., 2021"
Bear-BC,0.93,0.07,Bear-Skeena,"Price et al., 2021"
Bulkley,0.46,0.54,,"Price et al., 2021"
Ecstall,0.85,0.15,,"Price et al., 2021"
Kalum,0.94,0.06,Kitsumkalum,"Price et al., 2021"
Kispiox,0.82,0.18,,"Price et al., 2021"
Kitwanga,0.98,0.02,,"Price et al., 2021"
Lakelse,0.96,0.04,Lakelse,"Price et al., 2021"
Motase,0.73,0.27,Motase,"Price et al., 2021"
Slamgeesh,0.98,0.02,,"Price et al., 2021"
Sustut,0.7,0.3,Sustut,"Price et al., 2021"
Zymoetz,0.87,0.13,,"Price et al., 2021"
