"Species","Stock","Region","First Brood Year","Last Brood Year","Latitude","Longitude"
"Sockeye","Birkenhead","West Coast",1950,2015,49.12,-123.06
"Sockeye","Bowron","West Coast",1950,2015,49.12,-123.06
"Sockeye","Chilko","West Coast",1950,2015,49.12,-123.06
"Sockeye","Cultus","West Coast",1950,2015,49.12,-123.06
"Sockeye","Early Stuart","West Coast",1950,2015,49.12,-123.06
"Sockeye","Gates","West Coast",1952,2015,49.12,-123.06
"Sockeye","Harrison","West Coast",1950,2015,49.12,-123.06
"Sockeye","Late Shuswap","West Coast",1950,2015,49.12,-123.06
"Sockeye","Late Stuart","West Coast",1950,2015,49.12,-123.06
"Sockeye","Nadina","West Coast",1973,2015,49.12,-123.06
"Sockeye","North Barriere","West Coast",1958,2015,49.12,-123.06
"Sockeye","Pitt","West Coast",1950,2015,49.12,-123.06
"Sockeye","Portage","West Coast",1951,2015,49.12,-123.06
"Sockeye","Quesnel","West Coast",1950,2015,49.12,-123.06
"Sockeye","Raft","West Coast",1950,2015,49.12,-123.06
"Sockeye","Scotch","West Coast",1952,2015,49.12,-123.06
"Sockeye","Seymour","West Coast",1950,2015,49.12,-123.06
"Sockeye","Stellako","West Coast",1950,2015,49.12,-123.06
"Sockeye","Weaver","West Coast",1966,2015,49.12,-123.06
"Sockeye","Great Central Lake","West Coast",1977,2015,49.24,-124.8
"Sockeye","Sproat Lake","West Coast",1977,2015,49.24,-124.8
"Sockeye","Canoona","West Coast",1975,2014,53.08,-128.555
"Sockeye","Skidegate","West Coast",1956,2015,53.167,-131.789
"Sockeye","Evelyn","West Coast",1954,2014,53.56,-128.958
"Sockeye","Awun","West Coast",1957,2015,53.665,-132.523
"Sockeye","Yakoun","West Coast",1957,2015,53.682,-132.235
"Sockeye","Alastair","Southeast Alaska",1960,2015,54.22,-129.831
"Sockeye","Babine Early Wild","Southeast Alaska",1960,2015,54.22,-129.831
"Sockeye","Babine Late Wild","Southeast Alaska",1960,2015,54.22,-129.831
"Sockeye","Babine Mid Wild","Southeast Alaska",1960,2015,54.22,-129.831
"Sockeye","Bear-Skeena","Southeast Alaska",1960,2015,54.22,-129.831
"Sockeye","Kitsumkalum","Southeast Alaska",1960,2015,54.22,-129.831
"Sockeye","Lakelse","Southeast Alaska",1960,2015,54.22,-129.831
"Sockeye","Morice","Southeast Alaska",1960,2015,54.22,-129.831
"Sockeye","Swan-Stephens","Southeast Alaska",1960,2015,54.22,-129.831
"Sockeye","Bowser","Southeast Alaska",1982,2015,54.99,-130.02
"Sockeye","Damdochax","Southeast Alaska",1982,2015,54.99,-130.02
"Sockeye","Kwinageese","Southeast Alaska",1982,2015,54.99,-130.02
"Sockeye","Lower Nass Sea & River Type","Southeast Alaska",1982,2015,54.99,-130.02
"Sockeye","Meziadin","Southeast Alaska",1982,2015,54.99,-130.02
"Sockeye","Upper Nass River Type","Southeast Alaska",1982,2015,54.99,-130.02
"Sockeye","Redoubt","Southeast Alaska",1982,2015,56.9,-135.33
"Sockeye","Chilkoot","Southeast Alaska",1976,2015,58.92,-135.23
"Sockeye","Copper","Gulf of Alaska",1961,2015,60.46,-144.96
"Sockeye","Early Russian","Gulf of Alaska",1965,2015,60.54,-151.28
"Sockeye","Kenai","Gulf of Alaska",1968,2015,60.54,-151.28
"Sockeye","Kasilof","Gulf of Alaska",1968,2015,60.39,-151.3
"Sockeye","Upper Station Early","Gulf of Alaska",1969,2015,57.06,-154.36
"Sockeye","Upper Station Late","Gulf of Alaska",1970,2015,57.06,-154.36
"Sockeye","Karluk Early","Gulf of Alaska",1982,2015,57.57,-154.45
"Sockeye","Karluk Late","Gulf of Alaska",1982,2015,57.57,-154.45
"Sockeye","Ayakulik","Gulf of Alaska",1966,2015,57.2,-154.54
"Sockeye","Chignik Early","Gulf of Alaska",1983,2015,56.28,-158.64
"Sockeye","Chignik Late","Gulf of Alaska",1983,2015,56.28,-158.64
"Sockeye","Nelson","Bering Sea",1982,2015,55.96,-161.28
"Sockeye","Bear","Bering Sea",1982,2015,56.16,-160.45
"Sockeye","Kvichak","Bering Sea",1963,2014,57.5,-157.6
"Sockeye","Alagnak","Bering Sea",1963,2014,58.25,-157.38
"Sockeye","Wood","Bering Sea",1963,2014,58.68,-158.8
"Sockeye","Naknek","Bering Sea",1963,2014,58.78,-157.08
"Sockeye","Igushik","Bering Sea",1963,2014,58.82,-158.62
"Sockeye","Nushagak","Bering Sea",1963,2014,58.82,-158.49
"Sockeye","Egegik","Bering Sea",1963,2014,58.85,-157.03
