"Stock.ID","Stock","BY","Species","Region","Sub.Region","S","R","UseFlag","R2","R3","R4","R5","R6","R7","Lat","Lon","Ocean.Region2"
301,"Willapa Bay",1968,"Chum","Outside WA","Outside WA",13200,102452,1,0,0.367957677741772,0.56697770663335,0.065064615624878,0,0,46.3733,-123.9575,"WC"
301,"Willapa Bay",1969,"Chum","Outside WA","Outside WA",33900,49559,1,0,0.360055691196352,0.624508161988741,0.0154159688452148,0,0,46.3733,-123.9575,"WC"
301,"Willapa Bay",1970,"Chum","Outside WA","Outside WA",23100,32833,1,0,0.304541162854445,0.695428379983553,0,0,0,46.3733,-123.9575,"WC"
301,"Willapa Bay",1971,"Chum","Outside WA","Outside WA",37600,28026,1,0,0.761792621137515,0.233033611646328,0.00517376721615643,0,0,46.3733,-123.9575,"WC"
301,"Willapa Bay",1972,"Chum","Outside WA","Outside WA",22400,70218,1,0,0.388917371614116,0.611096869748498,0,0,0,46.3733,-123.9575,"WC"
301,"Willapa Bay",1973,"Chum","Outside WA","Outside WA",14500,10955,1,0,0.475855773619352,0.524144226380648,0,0,0,46.3733,-123.9575,"WC"
301,"Willapa Bay",1974,"Chum","Outside WA","Outside WA",12200,86085,1,0,0.489179299529535,0.499645699018412,0.011186617877679,0,0,46.3733,-123.9575,"WC"
301,"Willapa Bay",1975,"Chum","Outside WA","Outside WA",12600,5535,1,0,0.666485998193315,0.333514001806685,0,0,0,46.3733,-123.9575,"WC"
301,"Willapa Bay",1976,"Chum","Outside WA","Outside WA",16500,38112,1,0,0.136859781696054,0.802345717884131,0.060820738874895,0,0,46.3733,-123.9575,"WC"
301,"Willapa Bay",1977,"Chum","Outside WA","Outside WA",40200,60299,1,0,0.569561684273371,0.421482943332394,0.00893878837128311,0,0,46.3733,-123.9575,"WC"
301,"Willapa Bay",1978,"Chum","Outside WA","Outside WA",18900,157372,1,0,0.0813931321963246,0.751328063442035,0.167272449991104,0,0,46.3733,-123.9575,"WC"
301,"Willapa Bay",1979,"Chum","Outside WA","Outside WA",6915,40598,1,0,0.395191881373467,0.557933888368885,0.0468742302576482,0,0,46.3733,-123.9575,"WC"
301,"Willapa Bay",1980,"Chum","Outside WA","Outside WA",37300,49807,1,0,0.382396048748168,0.606099544240769,0.011484329511916,0,0,46.3733,-123.9575,"WC"
301,"Willapa Bay",1981,"Chum","Outside WA","Outside WA",22120,57537,1,0,0.578288753323948,0.406625301979596,0.0151033248170742,0,0,46.3733,-123.9575,"WC"
301,"Willapa Bay",1982,"Chum","Outside WA","Outside WA",66889,115368,1,0,0.412402052562236,0.529964981624021,0.0576329658137438,0,0,46.3733,-123.9575,"WC"
301,"Willapa Bay",1983,"Chum","Outside WA","Outside WA",20871,42103,1,0,0.114267391872313,0.724865211505118,0.160867396622568,0,0,46.3733,-123.9575,"WC"
301,"Willapa Bay",1984,"Chum","Outside WA","Outside WA",42635,250667,1,0,0.23615793064105,0.691574878224896,0.0722671911340543,0,0,46.3733,-123.9575,"WC"
301,"Willapa Bay",1985,"Chum","Outside WA","Outside WA",52703,16437,1,0,0.1670621159579,0.738273407556123,0.0946644764859768,0,0,46.3733,-123.9575,"WC"
301,"Willapa Bay",1986,"Chum","Outside WA","Outside WA",34040,34375,1,0,0.143243636363636,0.535854545454545,0.320872727272727,0,0,46.3733,-123.9575,"WC"
301,"Willapa Bay",1987,"Chum","Outside WA","Outside WA",31884,45533,1,0,0.0141216260733973,0.872466123470889,0.113412250455713,0,0,46.3733,-123.9575,"WC"
