"Stock","Stock.ID","Ocean.Region2","lat","lon","na_count","n_years","yr_start","yr_end","ocean_region_lab"
"Birkenhead",20,"WC",49.12,-123.06,0,69,1950,2018,"West Coast"
"Bowron",14,"WC",49.12,-123.06,0,69,1950,2018,"West Coast"
"Chilko",17,"WC",49.12,-123.06,0,69,1950,2018,"West Coast"
"Cultus",21,"WC",49.12,-123.06,4,32,1983,2018,"West Coast"
"Early Stuart",11,"WC",49.12,-123.06,0,69,1950,2018,"West Coast"
"Gates",26,"WC",49.12,-123.06,0,67,1952,2018,"West Coast"
"Harrison",29,"WC",49.12,-123.06,0,69,1950,2018,"West Coast"
"Late Shuswap",19,"WC",49.12,-123.06,1,68,1950,2018,"West Coast"
"Late Stuart",12,"WC",49.12,-123.06,0,69,1950,2018,"West Coast"
"Nadina",27,"WC",49.12,-123.06,0,46,1973,2018,"West Coast"
"North Barriere",24,"WC",49.12,-123.06,5,55,1959,2018,"West Coast"
"Pitt",28,"WC",49.12,-123.06,0,69,1950,2018,"West Coast"
"Portage",22,"WC",49.12,-123.06,3,65,1951,2018,"West Coast"
"Quesnel",16,"WC",49.12,-123.06,0,69,1950,2018,"West Coast"
"Raft",15,"WC",49.12,-123.06,0,69,1950,2018,"West Coast"
"Scotch",25,"WC",49.12,-123.06,16,51,1952,2018,"West Coast"
"Seymour",18,"WC",49.12,-123.06,0,69,1950,2018,"West Coast"
"Stellako",13,"WC",49.12,-123.06,0,69,1950,2018,"West Coast"
"Weaver",23,"WC",49.12,-123.06,0,53,1966,2018,"West Coast"
"Great Central Lake",100,"WC",49.24,-124.8,0,40,1977,2016,"West Coast"
"Sproat Lake",101,"WC",49.24,-124.8,0,40,1977,2016,"West Coast"
"Skidegate",73,"WC",53.167,-131.789,1,60,1956,2016,"West Coast"
"Evelyn",61,"WC",53.56,-128.958,12,49,1954,2014,"West Coast"
"Awun",71,"WC",53.665,-132.523,7,53,1957,2016,"West Coast"
"Yakoun",74,"WC",53.682,-132.235,6,54,1957,2016,"West Coast"
"Alastair",38,"SEAK",54.22,-129.831,0,58,1960,2017,"Southeast Alaska"
"Babine Early Wild",40,"SEAK",54.22,-129.831,0,58,1960,2017,"Southeast Alaska"
"Babine Late Wild",41,"SEAK",54.22,-129.831,0,58,1960,2017,"Southeast Alaska"
"Babine Mid Wild",42,"SEAK",54.22,-129.831,0,58,1960,2017,"Southeast Alaska"
"Bear-Skeena",43,"SEAK",54.22,-129.831,6,53,1960,2018,"Southeast Alaska"
"Kitsumkalum",46,"SEAK",54.22,-129.831,0,59,1960,2018,"Southeast Alaska"
"Lakelse",49,"SEAK",54.22,-129.831,0,59,1960,2018,"Southeast Alaska"
"Morice",53,"SEAK",54.22,-129.831,0,58,1960,2017,"Southeast Alaska"
"Swan-Stephens",57,"SEAK",54.22,-129.831,1,58,1960,2018,"Southeast Alaska"
"Bowser",44,"SEAK",54.99,-130.02,0,37,1982,2018,"Southeast Alaska"
"Damdochax",45,"SEAK",54.99,-130.02,0,37,1982,2018,"Southeast Alaska"
"Kwinageese",48,"SEAK",54.99,-130.02,0,37,1982,2018,"Southeast Alaska"
"Lower Nass Sea & River Type",50,"SEAK",54.99,-130.02,0,37,1982,2018,"Southeast Alaska"
"Meziadin",52,"SEAK",54.99,-130.02,0,37,1982,2018,"Southeast Alaska"
"Upper Nass River Type",58,"SEAK",54.99,-130.02,0,37,1982,2018,"Southeast Alaska"
"Redoubt",89,"SEAK",56.9,-135.33,0,35,1982,2016,"Southeast Alaska"
"Chilkoot",88,"SEAK",58.92,-135.23,0,43,1976,2018,"Southeast Alaska"
"Copper",3,"GOA",60.46,-144.96,0,56,1961,2016,"Gulf of Alaska"
"Early Russian",6,"GOA",60.54,-151.28,0,52,1965,2016,"Gulf of Alaska"
"Kenai",86,"GOA",60.54,-151.37,0,51,1968,2018,"Gulf of Alaska"
"Kasilof",85,"GOA",60.43,-151.45,0,51,1968,2018,"Gulf of Alaska"
"Frazer Lake",93,"GOA",57.13,-154.04,0,53,1966,2018,"Gulf of Alaska"
"Upper Station Early",92,"GOA",57.06,-154.36,0,50,1969,2018,"Gulf of Alaska"
"Upper Station Late",91,"GOA",57.06,-154.36,0,49,1970,2018,"Gulf of Alaska"
"Karluk Early",95,"GOA",57.57,-154.45,0,36,1982,2017,"Gulf of Alaska"
"Karluk Late",90,"GOA",57.57,-154.45,0,37,1982,2018,"Gulf of Alaska"
"Ayakulik",94,"GOA",57.2,-154.54,0,53,1966,2018,"Gulf of Alaska"
"Chignik Early",96,"GOA",56.28,-158.64,0,36,1983,2018,"Gulf of Alaska"
"Chignik Late",97,"GOA",56.28,-158.64,0,36,1983,2018,"Gulf of Alaska"
"Nelson River",99,"BS",55.96,-161.28,0,37,1982,2018,"Bering Sea"
"Bear Lake",98,"BS",56.16,-160.45,0,37,1982,2018,"Bering Sea"
"Ugashik",79,"BS",57.5,-157.6,0,56,1963,2018,"Bering Sea"
"Egegik",80,"BS",58.25,-157.38,0,56,1963,2018,"Bering Sea"
"Igushik",82,"BS",58.68,-158.8,0,56,1963,2018,"Bering Sea"
"Naknek",78,"BS",58.78,-157.08,0,56,1963,2018,"Bering Sea"
"Nushagak",81,"BS",58.82,-158.49,0,56,1963,2018,"Bering Sea"
"Wood",83,"BS",58.82,-158.62,0,56,1963,2018,"Bering Sea"
"Alagnak",77,"BS",58.85,-158.5,0,56,1963,2018,"Bering Sea"
"Kvichak",76,"BS",58.85,-157.03,0,56,1963,2018,"Bering Sea"
"Togiak",84,"BS",58.95,-160.45,0,63,1956,2018,"Bering Sea"
"Goodnews",87,"BS",59.11,-161.62,0,35,1981,2015,"Bering Sea"
