"Stock.ID","Stock","Region","Ocean.Region","Ocean.Region2","Sub.Region","lat","lon","na_count","n_years","yr_start","yr_end","alpha_region","ocean_label","ocean_label2"
102,"Early Stuart","Fraser River","WC","WC","Fraser Early Stuart",49.12,-123.06,0,60,1950,2009,"FR","West Coast","West Coast"
103,"Bowron","Fraser River","WC","WC","Fraser Early Summer",49.12,-123.06,0,60,1950,2009,"FR","West Coast","West Coast"
104,"Fennell","Fraser River","WC","WC","Fraser Early Summer",49.12,-123.06,0,34,1967,2000,"FR","West Coast","West Coast"
105,"Gates","Fraser River","WC","WC","Fraser Early Summer",49.12,-123.06,0,42,1968,2009,"FR","West Coast","West Coast"
106,"Nadina","Fraser River","WC","WC","Fraser Early Summer",49.12,-123.06,0,37,1973,2009,"FR","West Coast","West Coast"
107,"Pitt","Fraser River","WC","WC","Fraser Early Summer",49.12,-123.06,0,60,1950,2009,"FR","West Coast","West Coast"
108,"Raft","Fraser River","WC","WC","Fraser Early Summer",49.12,-123.06,0,60,1950,2009,"FR","West Coast","West Coast"
109,"Scotch","Fraser River","WC","WC","Fraser Early Summer",49.12,-123.06,0,21,1980,2000,"FR","West Coast","West Coast"
110,"Seymour","Fraser River","WC","WC","Fraser Early Summer",49.12,-123.06,0,60,1950,2009,"FR","West Coast","West Coast"
111,"Chilko","Fraser River","WC","WC","Fraser Summer",49.12,-123.06,0,60,1950,2009,"FR","West Coast","West Coast"
112,"Late Stuart","Fraser River","WC","WC","Fraser Summer",49.12,-123.06,0,60,1950,2009,"FR","West Coast","West Coast"
113,"Quesnel","Fraser River","WC","WC","Fraser Summer",49.12,-123.06,0,60,1950,2009,"FR","West Coast","West Coast"
114,"Stellako","Fraser River","WC","WC","Fraser Summer",49.12,-123.06,0,60,1950,2009,"FR","West Coast","West Coast"
115,"Birkenhead","Fraser River","WC","WC","Fraser Late",49.12,-123.06,0,52,1950,2001,"FR","West Coast","West Coast"
116,"Cultus","Fraser River","WC","WC","Fraser Late",49.12,-123.06,0,48,1952,1999,"FR","West Coast","West Coast"
117,"Harrison","Fraser River","WC","WC","Fraser Late",49.12,-123.06,0,60,1950,2009,"FR","West Coast","West Coast"
118,"Late Shuswap","Fraser River","WC","WC","Fraser Late",49.12,-123.06,0,54,1950,2003,"FR","West Coast","West Coast"
119,"Portage","Fraser River","WC","WC","Fraser Late",49.12,-123.06,0,41,1961,2001,"FR","West Coast","West Coast"
120,"Weaver","Fraser River","WC","WC","Fraser Late",49.12,-123.06,0,44,1966,2009,"FR","West Coast","West Coast"
124,"Owikeno","BC Central","WC","WC","BC Central",51.68,-127.25,0,23,1987,2009,"AK","West Coast","West Coast"
125,"Atnarko","BC Central","WC","WC","BC Central",52.38,-126.78,0,23,1987,2009,"AK","West Coast","West Coast"
127,"Nass (Meziadin)","BC North","WC","GOA","BC North",54.96,-129.9,0,38,1972,2009,"AK","West Coast","Gulf of Alaska"
129,"Redoubt","SEAK","WC","GOA","SEAK",56.9,-135.33,0,28,1982,2009,"AK","West Coast","Gulf of Alaska"
131,"Chilkoot","SEAK","WC","GOA","SEAK",58.92,-135.23,0,34,1976,2009,"AK","West Coast","Gulf of Alaska"
138,"Copper","PWS","GOA","GOA","PWS",60.46,-144.96,0,49,1961,2009,"AK","Gulf of Alaska","Gulf of Alaska"
139,"Coghill","PWS","GOA","GOA","PWS",61.06,-147.94,0,47,1962,2008,"AK","Gulf of Alaska","Gulf of Alaska"
140,"Eshamy","PWS","GOA","GOA","PWS",60.47,-147.94,0,14,1968,1981,"AK","Gulf of Alaska","Gulf of Alaska"
141,"Kenai","Cook Inlet","GOA","GOA","Upper Cook Inlet",60.54,-151.28,0,42,1968,2009,"AK","Gulf of Alaska","Gulf of Alaska"
142,"Kasilof","Cook Inlet","GOA","GOA","Upper Cook Inlet",60.39,-151.3,0,42,1968,2009,"AK","Gulf of Alaska","Gulf of Alaska"
145,"Ayakulik","Kodiak","GOA","GOA","Kodiak",57.2,-154.54,0,44,1966,2009,"AK","Gulf of Alaska","Gulf of Alaska"
146,"Early Upper Station","Kodiak","GOA","GOA","Kodiak",57.06,-154.36,0,41,1969,2009,"AK","Gulf of Alaska","Gulf of Alaska"
147,"Late Upper Station","Kodiak","GOA","GOA","Kodiak",57.06,-154.36,0,40,1970,2009,"AK","Gulf of Alaska","Gulf of Alaska"
149,"Early Karluk","Kodiak","GOA","GOA","Kodiak",57.57,-154.45,0,29,1981,2009,"AK","Gulf of Alaska","Gulf of Alaska"
150,"Late Karluk","Kodiak","GOA","GOA","Kodiak",57.57,-154.45,0,29,1981,2009,"AK","Gulf of Alaska","Gulf of Alaska"
151,"Black Lake","Chignik","GOA","GOA","Chignik",56.28,-158.64,0,45,1965,2009,"AK","Gulf of Alaska","Gulf of Alaska"
152,"Chignik Lake","Chignik","GOA","GOA","Chignik",56.28,-158.64,0,45,1965,2009,"AK","Gulf of Alaska","Gulf of Alaska"
153,"Nelson","AK Peninsula","BS","BS","AK Peninsula",55.96,-161.28,0,29,1981,2009,"AK","Bering Sea","Bering Sea"
154,"Bear","AK Peninsula","BS","BS","AK Peninsula",56.16,-160.45,0,29,1981,2009,"AK","Bering Sea","Bering Sea"
155,"Ugashik","Bristol Bay","BS","BS","Bristol Bay South",57.5,-157.6,0,47,1963,2009,"AK","Bering Sea","Bering Sea"
156,"Egegik","Bristol Bay","BS","BS","Bristol Bay South",58.25,-157.38,0,47,1963,2009,"AK","Bering Sea","Bering Sea"
157,"Naknek","Bristol Bay","BS","BS","Bristol Bay South",58.78,-157.08,0,47,1963,2009,"AK","Bering Sea","Bering Sea"
159,"Kvichak","Bristol Bay","BS","BS","Bristol Bay South",58.85,-157.03,0,47,1963,2009,"AK","Bering Sea","Bering Sea"
160,"Nushagak","Bristol Bay","BS","BS","Bristol Bay North",58.82,-158.49,0,25,1985,2009,"AK","Bering Sea","Bering Sea"
161,"Wood","Bristol Bay","BS","BS","Bristol Bay North",58.82,-158.62,0,47,1963,2009,"AK","Bering Sea","Bering Sea"
162,"Igushik","Bristol Bay","BS","BS","Bristol Bay North",58.68,-158.8,0,47,1963,2009,"AK","Bering Sea","Bering Sea"
163,"Togiak","Bristol Bay","BS","BS","Bristol Bay North",58.95,-160.45,0,54,1956,2009,"AK","Bering Sea","Bering Sea"
164,"Goodnews","AYK","BS","BS","AYK",59.11,-161.62,0,29,1981,2009,"AK","Bering Sea","Bering Sea"
