"","Model","Competitor index","Parameter","Era","Region","Posterior_Mean","Lower_2.5_CI","Lower_10_CI","Posterior_Median","Upper_90_CI","Upper_97.5_CI"
"1","1","1","SST effect","All","West Coast",-0.173927904472061,-0.297713191498322,-0.254099904309996,-0.174416650674733,-0.0939647730171918,-0.0497635740914134
"2","1","1","SST effect","All","Southeast Alaska",-0.0260410297360632,-0.26328047311278,-0.159046086944284,-0.0190529726108401,0.0961377939854259,0.18388938671309
"3","1","1","SST effect","All","Gulf of Alaska",0.293014728035209,0.0257468671284011,0.138072528125454,0.29232009548604,0.449232860612466,0.563057304061665
"4","1","1","SST effect","All","Bering Sea",0.461540896785853,-0.224532295730993,0.159005497796767,0.465397435346863,0.770779503871717,1.12773882253187
"5","1","1","Competitor effect","All","West Coast",-0.0112224736610866,-0.224274830183086,-0.143448673702602,-0.0142941579537658,0.124512454978542,0.213431665349109
"6","1","1","Competitor effect","All","Southeast Alaska",0.147319361145808,-0.0533069231435541,0.0354055845114988,0.152710308678231,0.252902906435008,0.316578008256393
"7","1","1","Competitor effect","All","Gulf of Alaska",0.0228233276890146,-0.169089534441489,-0.0845400494616329,0.0280341654802969,0.125379616067423,0.187560879994781
"8","1","1","Competitor effect","All","Bering Sea",0.171397083790289,-0.755811580915029,-0.209619893865667,0.185602923218854,0.552567316033932,0.971073865239718
"9","1","1","SST x Competitor effect","All","West Coast",-0.158934525830795,-0.293078721355618,-0.241783917974211,-0.15879326911336,-0.0756890609214101,-0.0328683615216474
"10","1","1","SST x Competitor effect","All","Southeast Alaska",-0.150233498893563,-0.262867444060687,-0.221455903254374,-0.150291222887402,-0.0781967112004716,-0.0362239076865381
"11","1","1","SST x Competitor effect","All","Gulf of Alaska",-0.115811363513261,-0.318862733069569,-0.234136248864226,-0.11676791962388,0.00732527363065729,0.091272165464955
"12","1","1","SST x Competitor effect","All","Bering Sea",-0.157114298479873,-0.672740076520418,-0.44413272083135,-0.184254477197871,0.163590614112885,0.526950514417945
"13","1","2","SST effect","All","West Coast",-0.189444407629623,-0.320392563136203,-0.271165986024971,-0.188640970089231,-0.107934030712258,-0.0656817577594245
"14","1","2","SST effect","All","Southeast Alaska",-0.0117325291273659,-0.212713688237643,-0.124267891224716,-0.00415271670705555,0.0901975707426609,0.147604224580483
"15","1","2","SST effect","All","Gulf of Alaska",0.271577940148593,0.0680875486206313,0.161989557551196,0.274477028649164,0.380402709657679,0.454602123182459
"16","1","2","SST effect","All","Bering Sea",0.551364654609846,-0.0272407129225778,0.25626394025057,0.535014790936339,0.845353563172819,1.26175132784181
"17","1","2","Competitor effect","All","West Coast",-0.0462850095434204,-0.199478900158801,-0.143818167328411,-0.0475997804614318,0.0514452773400856,0.113829841204775
"18","1","2","Competitor effect","All","Southeast Alaska",0.148258092519061,-0.115111407381941,0.00987954735991744,0.155952484350702,0.282294590175623,0.360372778938405
"19","1","2","Competitor effect","All","Gulf of Alaska",0.039228958402332,-0.206563017531958,-0.0957729388495835,0.0420212245310064,0.177223264621306,0.267881529695233
"20","1","2","Competitor effect","All","Bering Sea",0.0304748190389869,-0.599949042759578,-0.26230972956796,0.0242037496756322,0.32071735298903,0.711517196225746
"21","1","2","SST x Competitor effect","All","West Coast",-0.170371747158981,-0.327563641928474,-0.269860002310933,-0.170721523028611,-0.0702562180423916,-0.0134070258443871
"22","1","2","SST x Competitor effect","All","Southeast Alaska",-0.131044563515863,-0.234537656484835,-0.194154003878916,-0.13058583125871,-0.0672590198891074,-0.0333493547885499
"23","1","2","SST x Competitor effect","All","Gulf of Alaska",-0.103857252550883,-0.253937419554781,-0.192551361040637,-0.103844649659366,-0.0147793019809844,0.0445001608899504
"24","1","2","SST x Competitor effect","All","Bering Sea",-0.153623444591332,-0.632147243392214,-0.424647371150696,-0.171467990458178,0.12000343714811,0.448730873637715
"25","1","3","SST effect","All","West Coast",-0.171265557983265,-0.313694754058724,-0.261973289106072,-0.170093613854339,-0.0829798410310485,-0.0350307514961
"26","1","3","SST effect","All","Southeast Alaska",-0.00745886432960879,-0.21620918336296,-0.12567900065334,-0.00236420733088725,0.0998820111293289,0.173874460506795
"27","1","3","SST effect","All","Gulf of Alaska",0.251544898459835,0.0724609770123454,0.146344696146376,0.249225433192021,0.361371975448131,0.449300870184459
"28","1","3","SST effect","All","Bering Sea",0.586566006523554,-0.0342032336593209,0.277446082549013,0.565988323367561,0.891386697881513,1.32064384943638
"29","1","3","Competitor effect","All","West Coast",-0.100947565927892,-0.233270744165975,-0.1866004203537,-0.100714065000057,-0.0155186087210144,0.033580110825484
"30","1","3","Competitor effect","All","Southeast Alaska",0.0202229147989784,-0.160858734281818,-0.075499992590695,0.0257649355405972,0.109351926692297,0.168363230436993
"31","1","3","Competitor effect","All","Gulf of Alaska",0.0444256442140894,-0.14412555826345,-0.0643517270411557,0.0441733196316202,0.151652289974607,0.226594021229377
"32","1","3","Competitor effect","All","Bering Sea",-0.0830563451271385,-0.691536807246298,-0.379941016828359,-0.0938031878167295,0.202123622662586,0.573686464277455
"33","1","3","SST x Competitor effect","All","West Coast",-0.111039705277914,-0.235968220216139,-0.188969456522348,-0.10975380642153,-0.0355929430317305,0.00455340539231702
"34","1","3","SST x Competitor effect","All","Southeast Alaska",-0.111631707751462,-0.223548578749394,-0.178991245072834,-0.110587974047676,-0.0443713201385193,-0.00762112236654612
"35","1","3","SST x Competitor effect","All","Gulf of Alaska",-0.0450339633781161,-0.219369642628045,-0.146327206869894,-0.0421336665731696,0.0530400717559947,0.11240821882025
"36","1","3","SST x Competitor effect","All","Bering Sea",-0.259897602384547,-0.90577956168344,-0.564612396752013,-0.263955328802257,0.0687714741875544,0.355208283925305
"37","1","4","SST effect","All","West Coast",-0.13295053140281,-0.261947034441494,-0.217637206831878,-0.134071114501722,-0.0483945248495898,0.00251781231911136
"38","1","4","SST effect","All","Southeast Alaska",-0.0374171581430906,-0.250924622439936,-0.150152220843876,-0.0304313044210066,0.0683739860476596,0.133598624260148
"39","1","4","SST effect","All","Gulf of Alaska",0.283337698744334,0.0335232468174246,0.144404021401081,0.28096237745856,0.425765571950734,0.5454974308749
"40","1","4","SST effect","All","Bering Sea",0.501273771729302,-0.103000780411801,0.198123727763512,0.488978479190076,0.799305860188602,1.19850519368105
"41","1","4","Competitor effect","All","West Coast",-0.0919329593996089,-0.270429460589051,-0.205491993870268,-0.0951197340947882,0.0228207102948935,0.101230302661871
"42","1","4","Competitor effect","All","Southeast Alaska",0.168342763275768,-0.079326851777051,0.037204159124591,0.175213029487743,0.294773672453392,0.370805892402717
"43","1","4","Competitor effect","All","Gulf of Alaska",0.0187819618884974,-0.246695187709018,-0.125077050625585,0.0218171965852319,0.16055108328227,0.259510296858023
"44","1","4","Competitor effect","All","Bering Sea",0.13049072053494,-0.586966309327563,-0.203749361935289,0.120106139889602,0.453331575640424,0.913576024487661
"45","1","4","SST x Competitor effect","All","West Coast",-0.207222554722775,-0.355383487070466,-0.299850255042739,-0.207309556417095,-0.112917235945937,-0.0603087587931781
"46","1","4","SST x Competitor effect","All","Southeast Alaska",-0.122641957168969,-0.226596332835594,-0.187757032172431,-0.120944271407429,-0.0594693375252212,-0.022434579658678
"47","1","4","SST x Competitor effect","All","Gulf of Alaska",-0.125610190329054,-0.318783762501522,-0.236067312252593,-0.124971447726889,-0.015768021114723,0.0571878705147294
"48","1","4","SST x Competitor effect","All","Bering Sea",-0.190701411666411,-0.772570809275842,-0.463430880360194,-0.19773533849902,0.106861086485927,0.437419016496241
