"","Model","Competitor index","Parameter","Era","Region","Posterior_Mean","Lower_2.5_CI","Lower_10_CI","Posterior_Median","Upper_90_CI","Upper_97.5_CI"
"1","1","all_spp_numbers_np","SST effect","Early","West Coast",0.0207780166380335,-0.0702229571642174,-0.0401337209497385,0.0208337783374445,0.0809799165587723,0.115206951172487
"2","1","all_spp_numbers_np","SST effect","Early","Southeast Alaska",0.030885397094208,-0.162568044529723,-0.0960053514268422,0.0318740902839357,0.157032648424737,0.22573925017454
"3","1","all_spp_numbers_np","SST effect","Early","Gulf of Alaska",0.118315022668139,0.0084353571433605,0.0486648517680161,0.119709033858518,0.186570189811421,0.221768589330028
"4","1","all_spp_numbers_np","SST effect","Early","Bering Sea",0.114076407035727,0.00840306381193777,0.0449757869705599,0.113845744372304,0.182820980342996,0.222073155996301
"5","1","all_spp_numbers_np","SST effect","Middle","West Coast",-0.112721890980738,-0.195608485854553,-0.16761774930622,-0.113058066032649,-0.0563454183405552,-0.0271991359453778
"6","1","all_spp_numbers_np","SST effect","Middle","Southeast Alaska",0.101701639751474,-0.0451113188281571,0.00477287152851333,0.0998249054210071,0.203069612814036,0.25803847703445
"7","1","all_spp_numbers_np","SST effect","Middle","Gulf of Alaska",0.0417731419291784,-0.0550858069341666,-0.0223695605082938,0.0414036904877234,0.1057525845657,0.138234325783076
"8","1","all_spp_numbers_np","SST effect","Middle","Bering Sea",0.280076975702362,0.17378782558798,0.211293799396789,0.280696589687424,0.348791690982997,0.381237787489531
"9","1","all_spp_numbers_np","SST effect","Late","West Coast",-0.0972673661020009,-0.308655067002609,-0.237772192024079,-0.0974424994717133,0.0411883954354047,0.117294278783258
"10","1","all_spp_numbers_np","SST effect","Late","Southeast Alaska",-0.443254459896724,-0.728464491727837,-0.636346732732997,-0.443620727520424,-0.251466984310039,-0.141589971987434
"11","1","all_spp_numbers_np","SST effect","Late","Gulf of Alaska",-0.319067283173301,-0.538652677286536,-0.458309091089039,-0.32062271379924,-0.178631742818523,-0.104877974068419
"12","1","all_spp_numbers_np","SST effect","Late","Bering Sea",0.12708446905555,-0.0623065732033091,0.00834456832256444,0.130203998373988,0.244328685474772,0.300366170529549
"13","1","all_spp_numbers_np","Competitor effect","Early","West Coast",-0.210768307792,-0.335399450378256,-0.291802323737655,-0.211060970066627,-0.128876906829391,-0.0877238374932562
"14","1","all_spp_numbers_np","Competitor effect","Early","Southeast Alaska",0.126256687852121,-0.125847814376897,-0.0378230727075108,0.127244682921752,0.288585390095204,0.376346127287917
"15","1","all_spp_numbers_np","Competitor effect","Early","Gulf of Alaska",0.0440634387054136,-0.152245770103504,-0.0817223599732049,0.0453119104313153,0.167535139623231,0.234346106769708
"16","1","all_spp_numbers_np","Competitor effect","Early","Bering Sea",0.302033406093084,0.135963273437519,0.189883801283971,0.301956014763003,0.410095384309312,0.467379002252284
"17","1","all_spp_numbers_np","Competitor effect","Middle","West Coast",-0.398548447778576,-0.527400301800411,-0.483410559106034,-0.398249823849647,-0.314072017519304,-0.267104900152245
"18","1","all_spp_numbers_np","Competitor effect","Middle","Southeast Alaska",-0.265720385912671,-0.48775035816719,-0.409031314718813,-0.267057572815613,-0.118698915481166,-0.0335878002636004
"19","1","all_spp_numbers_np","Competitor effect","Middle","Gulf of Alaska",-0.0417564654145435,-0.201884000739325,-0.146428296555763,-0.0405138645924736,0.0611966947677798,0.116282370863945
